path,label,split
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Cozy neutral salon_addf4a52.jpg,moroccan,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Golden arched bedroom_3f672feb.jpg,moroccan,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Hanging lanterns salon_e654edfe.jpg,moroccan,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Iron-frame arched bedroom_d555d4a6.jpg,moroccan,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Wooden island kitchen_7f2502a6.jpg,moroccan,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Patterned-rug seating majles_7d08a36d.jpg,khaleeji,val
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Ornate arched majles_cdaaf438.jpg,khaleeji,val
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Triple-arch window salon_cbe25417.jpg,lebanese,val
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Grand arched hall salon_48513c12.jpg,lebanese,val
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Rustic stone kitchen_db4db757.jpg,lebanese,val
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Teal carpet salon_34abd364.jpg,moroccan,val
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Patterned canopy bedroom_7ba2343a.jpg,moroccan,val
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Plated-wall majles_2c5ae645.jpg,khaleeji,test
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Traditional beamed majles_a2c183fe.jpg,khaleeji,test
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Mosaic-tile cooking kitchen_a6cd6f3a.jpg,lebanese,test
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Green-ceiling rustic salon_7c9a2a2d.jpg,lebanese,test
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Red-rug stone salon_fe7f1c89.jpg,lebanese,test
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Tapestry wall bedroom_89b674df.jpg,moroccan,test
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Garden archway salon_ecc92851.jpg,moroccan,test
