source,label,output,kind,rotation_deg,brightness,contrast,saturation,blur,flip
datasets\khaleeji\images\Traditional beamed majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Traditional beamed majles_aug2.jpg,aug,-1.407,0.943,1.07,1.047,False,False
datasets\khaleeji\images\Warm modern bedroom.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Warm modern bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Warm modern bedroom.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Warm modern bedroom_aug1.jpg,aug,-1.54,0.948,1.063,1.054,False,False
datasets\khaleeji\images\Warm modern bedroom.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Warm modern bedroom_aug2.jpg,aug,-0.112,0.95,1.046,1.034,False,False
datasets\lebanese\images\Cozy vaulted bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Cozy vaulted bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Cozy vaulted bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Cozy vaulted bedroom_aug1.jpg,aug,-0.198,1.017,0.977,1.046,False,False
datasets\lebanese\images\Cozy vaulted bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Cozy vaulted bedroom_aug2.jpg,aug,-2.306,1.016,1.042,0.972,False,False
datasets\lebanese\images\Display-cabinet stone kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Display-cabinet stone kitchen_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Display-cabinet stone kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Display-cabinet stone kitchen_aug1.jpg,aug,3.961,1.031,1.001,1.007,False,False
datasets\lebanese\images\Display-cabinet stone kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Display-cabinet stone kitchen_aug2.jpg,aug,-2.202,0.987,1.022,0.975,False,False
datasets\lebanese\images\Eclectic plated salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Eclectic plated salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Eclectic plated salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Eclectic plated salon_aug1.jpg,aug,-3.432,1.028,0.972,1.05,False,False
datasets\lebanese\images\Eclectic plated salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Eclectic plated salon_aug2.jpg,aug,-3.433,0.973,1.034,0.974,False,False
datasets\lebanese\images\Elegant draped bedroom.webp,lebanese,data\processed\classification\augmented\lebanese\Elegant draped bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Elegant draped bedroom.webp,lebanese,data\processed\classification\augmented\lebanese\Elegant draped bedroom_aug1.jpg,aug,3.484,1.02,1.006,1.036,False,False
datasets\lebanese\images\Elegant draped bedroom.webp,lebanese,data\processed\classification\augmented\lebanese\Elegant draped bedroom_aug2.jpg,aug,-2.477,0.954,1.0,0.997,False,False
datasets\lebanese\images\Grand arched hall salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Grand arched hall salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Grand arched hall salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Grand arched hall salon_aug1.jpg,aug,1.833,1.034,1.078,0.961,False,False
datasets\lebanese\images\Grand arched hall salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Grand arched hall salon_aug2.jpg,aug,-1.286,1.061,0.975,0.971,False,False
datasets\lebanese\images\Green-ceiling rustic salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Green-ceiling rustic salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Green-ceiling rustic salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Green-ceiling rustic salon_aug1.jpg,aug,-0.625,0.979,0.975,1.052,False,False
datasets\lebanese\images\Green-ceiling rustic salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Green-ceiling rustic salon_aug2.jpg,aug,2.891,1.017,0.947,1.06,False,False
datasets\lebanese\images\Modern wood kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Modern wood kitchen_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Modern wood kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Modern wood kitchen_aug1.jpg,aug,3.752,1.07,1.059,0.968,False,False
datasets\lebanese\images\Modern wood kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Modern wood kitchen_aug2.jpg,aug,-2.29,0.996,0.948,0.992,False,False
datasets\lebanese\images\Mosaic-tile cooking kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Mosaic-tile cooking kitchen_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Mosaic-tile cooking kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Mosaic-tile cooking kitchen_aug1.jpg,aug,-1.878,1.05,1.004,0.997,False,False
datasets\lebanese\images\Mosaic-tile cooking kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Mosaic-tile cooking kitchen_aug2.jpg,aug,3.963,1.018,1.041,0.967,False,False
datasets\lebanese\images\Mountain-view arched salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Mountain-view arched salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Mountain-view arched salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Mountain-view arched salon_aug1.jpg,aug,3.75,1.021,1.016,1.032,True,False
datasets\lebanese\images\Mountain-view arched salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Mountain-view arched salon_aug2.jpg,aug,0.673,1.01,1.059,0.967,False,False
datasets\lebanese\images\Patterned-tile floor kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Patterned-tile floor kitchen_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Patterned-tile floor kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Patterned-tile floor kitchen_aug1.jpg,aug,-3.359,0.966,1.023,1.024,False,False
datasets\lebanese\images\Patterned-tile floor kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Patterned-tile floor kitchen_aug2.jpg,aug,-3.041,1.065,0.974,1.015,False,False
datasets\lebanese\images\Red majlis seating.jpg,lebanese,data\processed\classification\augmented\lebanese\Red majlis seating_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Red majlis seating.jpg,lebanese,data\processed\classification\augmented\lebanese\Red majlis seating_aug1.jpg,aug,-0.646,1.022,1.013,1.053,False,False
datasets\lebanese\images\Red majlis seating.jpg,lebanese,data\processed\classification\augmented\lebanese\Red majlis seating_aug2.jpg,aug,1.73,0.973,0.995,1.024,False,False
datasets\lebanese\images\Red-rug stone salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Red-rug stone salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Red-rug stone salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Red-rug stone salon_aug1.jpg,aug,-1.471,1.045,0.95,1.0,False,False
datasets\lebanese\images\Red-rug stone salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Red-rug stone salon_aug2.jpg,aug,3.969,0.95,0.97,0.979,False,False
datasets\lebanese\images\Rustic stone kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Rustic stone kitchen_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Rustic stone kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Rustic stone kitchen_aug1.jpg,aug,3.047,1.063,0.992,0.967,False,False
datasets\lebanese\images\Rustic stone kitchen.jpg,lebanese,data\processed\classification\augmented\lebanese\Rustic stone kitchen_aug2.jpg,aug,1.628,1.026,1.078,1.022,True,False
datasets\lebanese\images\Stone arch salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Stone arch salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Stone arch salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Stone arch salon_aug1.jpg,aug,2.537,0.982,1.033,1.053,False,False
datasets\lebanese\images\Stone arch salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Stone arch salon_aug2.jpg,aug,-3.077,0.955,1.017,0.98,False,False
datasets\lebanese\images\Traditional banquette salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Traditional banquette salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Traditional banquette salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Traditional banquette salon_aug1.jpg,aug,1.741,0.969,1.029,0.979,False,False
datasets\lebanese\images\Traditional banquette salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Traditional banquette salon_aug2.jpg,aug,3.243,1.058,0.953,0.997,False,False
datasets\lebanese\images\Traditional pantry kitchen.webp,lebanese,data\processed\classification\augmented\lebanese\Traditional pantry kitchen_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Traditional pantry kitchen.webp,lebanese,data\processed\classification\augmented\lebanese\Traditional pantry kitchen_aug1.jpg,aug,-3.972,1.048,1.029,0.979,False,False
datasets\lebanese\images\Traditional pantry kitchen.webp,lebanese,data\processed\classification\augmented\lebanese\Traditional pantry kitchen_aug2.jpg,aug,0.413,1.0,0.941,0.958,False,False
datasets\lebanese\images\Triple-arch window salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Triple-arch window salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Triple-arch window salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Triple-arch window salon_aug1.jpg,aug,3.231,1.016,1.057,1.014,False,False
datasets\lebanese\images\Triple-arch window salon.jpg,lebanese,data\processed\classification\augmented\lebanese\Triple-arch window salon_aug2.jpg,aug,-2.98,0.983,1.066,1.038,False,False
datasets\lebanese\images\Twin red bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Twin red bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Twin red bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Twin red bedroom_aug1.jpg,aug,3.191,0.969,0.975,0.961,False,False
datasets\lebanese\images\Twin red bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Twin red bedroom_aug2.jpg,aug,3.073,0.997,1.027,0.967,False,False
datasets\lebanese\images\Wrought-iron bed bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Wrought-iron bed bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\lebanese\images\Wrought-iron bed bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Wrought-iron bed bedroom_aug1.jpg,aug,2.917,1.077,1.054,1.047,True,False
datasets\lebanese\images\Wrought-iron bed bedroom.jpg,lebanese,data\processed\classification\augmented\lebanese\Wrought-iron bed bedroom_aug2.jpg,aug,1.893,0.987,1.07,1.038,False,False
datasets\moroccan\images\Arched alcove headboard bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Arched alcove headboard bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Arched alcove headboard bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Arched alcove headboard bedroom_aug1.jpg,aug,2.486,0.977,1.05,0.962,False,False
datasets\moroccan\images\Arched alcove headboard bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Arched alcove headboard bedroom_aug2.jpg,aug,2.869,0.971,1.054,1.001,False,False
datasets\moroccan\images\Colorful lantern bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Colorful lantern bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Colorful lantern bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Colorful lantern bedroom_aug1.jpg,aug,2.363,0.972,0.943,0.971,False,False
datasets\moroccan\images\Colorful lantern bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Colorful lantern bedroom_aug2.jpg,aug,2.915,1.075,0.979,1.021,False,False
datasets\moroccan\images\Cozy neutral salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Cozy neutral salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Cozy neutral salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Cozy neutral salon_aug1.jpg,aug,3.849,1.015,1.071,0.963,False,False
datasets\moroccan\images\Cozy neutral salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Cozy neutral salon_aug2.jpg,aug,-2.571,1.075,0.977,0.962,False,False
datasets\moroccan\images\Garden archway salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Garden archway salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Garden archway salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Garden archway salon_aug1.jpg,aug,1.828,0.984,1.025,1.006,False,False
datasets\moroccan\images\Garden archway salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Garden archway salon_aug2.jpg,aug,0.613,0.976,1.039,0.95,False,False
datasets\moroccan\images\Golden arched bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Golden arched bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Golden arched bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Golden arched bedroom_aug1.jpg,aug,0.308,1.041,1.044,1.024,False,False
datasets\moroccan\images\Golden arched bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Golden arched bedroom_aug2.jpg,aug,-3.44,1.033,0.986,0.985,False,False
datasets\moroccan\images\Hanging lanterns salon.webp,moroccan,data\processed\classification\augmented\moroccan\Hanging lanterns salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Hanging lanterns salon.webp,moroccan,data\processed\classification\augmented\moroccan\Hanging lanterns salon_aug1.jpg,aug,1.758,0.982,0.983,0.995,False,False
datasets\moroccan\images\Hanging lanterns salon.webp,moroccan,data\processed\classification\augmented\moroccan\Hanging lanterns salon_aug2.jpg,aug,-1.635,0.958,0.999,1.053,False,False
datasets\moroccan\images\Iron-frame arched bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Iron-frame arched bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Iron-frame arched bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Iron-frame arched bedroom_aug1.jpg,aug,3.222,1.026,0.982,1.01,True,False
datasets\moroccan\images\Iron-frame arched bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Iron-frame arched bedroom_aug2.jpg,aug,-1.705,1.0,1.021,1.022,False,False
datasets\moroccan\images\Ornate plated salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Ornate plated salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Ornate plated salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Ornate plated salon_aug1.jpg,aug,-0.463,0.97,1.006,1.049,False,False
datasets\moroccan\images\Ornate plated salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Ornate plated salon_aug2.jpg,aug,-2.642,0.952,1.012,1.02,False,False
datasets\moroccan\images\Patterned canopy bedroom.webp,moroccan,data\processed\classification\augmented\moroccan\Patterned canopy bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Patterned canopy bedroom.webp,moroccan,data\processed\classification\augmented\moroccan\Patterned canopy bedroom_aug1.jpg,aug,2.547,1.045,1.034,0.975,False,False
datasets\moroccan\images\Patterned canopy bedroom.webp,moroccan,data\processed\classification\augmented\moroccan\Patterned canopy bedroom_aug2.jpg,aug,-3.805,0.974,1.007,1.043,True,False
datasets\moroccan\images\Tapestry wall bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Tapestry wall bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Tapestry wall bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Tapestry wall bedroom_aug1.jpg,aug,-0.684,1.028,0.967,1.027,False,False
datasets\moroccan\images\Tapestry wall bedroom.jpg,moroccan,data\processed\classification\augmented\moroccan\Tapestry wall bedroom_aug2.jpg,aug,-2.048,1.032,0.941,1.033,False,False
datasets\moroccan\images\Teal carpet salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Teal carpet salon_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Teal carpet salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Teal carpet salon_aug1.jpg,aug,-3.147,1.0,0.965,1.055,False,False
datasets\moroccan\images\Teal carpet salon.jpg,moroccan,data\processed\classification\augmented\moroccan\Teal carpet salon_aug2.jpg,aug,-3.598,0.975,1.059,1.0,False,False
datasets\moroccan\images\Wooden island kitchen.jpg,moroccan,data\processed\classification\augmented\moroccan\Wooden island kitchen_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\moroccan\images\Wooden island kitchen.jpg,moroccan,data\processed\classification\augmented\moroccan\Wooden island kitchen_aug1.jpg,aug,1.341,1.078,1.023,1.055,False,False
datasets\moroccan\images\Wooden island kitchen.jpg,moroccan,data\processed\classification\augmented\moroccan\Wooden island kitchen_aug2.jpg,aug,0.901,1.041,1.011,1.041,False,False
